post_id,external_post_id,full_date,full_timestamp,hour_of_day,day_name,day_of_week,week_of_year,month_of_year,calendar_year,platform_name,page_name,industry,is_competitor,content_type,content_category,reach,impressions,likes,comments,shares,saves,engagement_count,engagement_rate,virality_score,post_url,caption,loaded_comment_count,positive_comment_count,neutral_comment_count,negative_comment_count,sentiment_ratio
633,1jvbEfLHw2U,2024-02-27,2024-02-27 10:28:43+00:00,17,Tuesday,2,9,2,2024,youtube,Vũ Thắng TV,F&B,False,video,video,68,68,0,0,0,0,0,0.0,0.0,,Review: The Coffee House I 36 P. Hoàng Cầu I Hà Nội I Vietnam I Thang Vu,0,0,0,0,
632,RzOCUwKRZzI,2024-03-19,2024-03-19 11:36:46+00:00,18,Tuesday,2,12,3,2024,youtube,Techie Abroad,F&B,False,video,video,437,437,6,0,0,0,6,1.373,0.0,,Let’s go to the Coffee House! 🇻🇳 #Abroad #TheCoffeeHouse #HoChiMinh #SoloTravel #Shorts #Travel,0,0,0,0,
631,xuouRUpVpGs,2024-05-13,2024-05-13 06:15:07+00:00,13,Monday,1,20,5,2024,youtube,Báo VietNamNet,F&B,False,video,video,33216,33216,203,88,0,0,291,0.8761,0.0,,The Coffee House giải thích lý do bồi thường 117 triệu vụ vỡ kính khiến nữ bác sĩ bị liệt nửa người,48,2,46,0,4.17
630,1TMjzSSJvlU,2024-05-14,2024-05-13 23:45:07+00:00,6,Tuesday,2,20,5,2024,youtube,Báo Pháp Luật TP HCM,F&B,False,video,video,6572,6572,32,0,0,0,32,0.4869,0.0,,Vụ vỡ kính tại cửa hàng The Coffee House: Trách nhiệm bồi thường thuộc về ai? - PLO,0,0,0,0,
629,xVCzWpRlotA,2024-05-19,2024-05-19 12:00:53+00:00,19,Sunday,7,20,5,2024,youtube,Andy Nguyen Channel,F&B,False,video,video,160,160,3,1,0,0,4,2.5,0.0,,THE COFFEE HOUSE - KHỦNG HOẢNG TRUYỀN THÔNG #AndyNguyen #AndyChannel #khunghoangtruyenthong #pr,1,0,1,0,0.0
628,egI5wj7h0E0,2024-05-20,2024-05-20 08:30:51+00:00,15,Monday,1,21,5,2024,youtube,Luci Digital,F&B,False,video,video,621,621,6,1,0,0,7,1.1272,0.0,,THE COFFEE HOUSE | VỀ NHÀ ĐÓN TRĂNG CÙNG THE TALE OF CUỘI 2020,1,0,1,0,0.0
627,MM566NbSp4I,2024-06-19,2024-06-19 04:00:09+00:00,11,Wednesday,3,25,6,2024,youtube,SÀI GÒN TREND,F&B,False,video,video,1479,1479,23,0,0,0,23,1.5551,0.0,,Ghé ngay The Coffee House nhận liền chiếc phao đáng iu này nè #saigonvivu #saigon #xuhuong #trending,0,0,0,0,
626,0AnAJ7OE4Dg,2024-08-18,2024-08-18 08:04:24+00:00,15,Sunday,7,33,8,2024,youtube,Tài chính Kinh doanh 5.1,F&B,False,video,video,541,541,3,0,0,0,3,0.5545,0.0,,"Cuộc chiến tỷ đô của các chuỗi cà phê Việt Nam |  Highlands Coffee chạm mốc gần 800 quán, 'tân binh'",0,0,0,0,
624,2_DywWOJXK4,2024-11-28,2024-11-28 08:30:58+00:00,15,Thursday,4,48,11,2024,youtube,HTC Cuộc sống mà,F&B,False,video,video,14,14,1,0,0,0,1,7.1429,0.0,,"Delicious food, avocado milk tea the coffee house, delicious",0,0,0,0,
625,_8mH7hI_CNo,2024-11-28,2024-11-28 08:28:36+00:00,15,Thursday,4,48,11,2024,youtube,HTC Cuộc sống mà,F&B,False,video,video,5,5,0,0,0,0,0,0.0,0.0,,"Delicious food, avocado milk tea the coffee house, delicious",0,0,0,0,
